method,shape_score_threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,present_dominant_found_rate,small_n,small_lesionwise_mean,small_dominant_found_rate,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_dominant_found_rate,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_dominant_found_rate,large_lesion_tp,large_lesion_fn,large_lesion_fp,large_detection_ratio,keeps_large_detection_90pct
otsu_T1c,0.001,100,33,0.9090909090909091,13855.0,740909,0.44776119402985076,31,0.0001536993064032036,0.22580645161290322,7,59,23,19,0.0030580804641909994,0.5263157894736842,10,45,9,17,0.16503766733855146,0.7647058823529411,13,46,4,0.9364475338184004,True
otsu_T1c,0.005,100,33,0.8181818181818182,13813.0,696896,0.417910447761194,31,0.0001330896539002424,0.16129032258064516,5,61,23,19,0.0030580804641909994,0.5263157894736842,10,45,9,17,0.16503766733855146,0.7647058823529411,13,46,4,0.9364475338184004,True
otsu_T1c,0.01,100,33,0.7878787878787878,13772.0,464359,0.2835820895522388,31,0.0,0.0,0,66,23,19,0.001786973861223822,0.3157894736842105,6,49,9,17,0.16503766733855146,0.7647058823529411,13,46,4,0.9364475338184004,True
otsu_T1c,0.02,100,33,0.7272727272727273,13510.0,24591,0.2537313432835821,31,0.0,0.0,0,66,23,19,0.001786973861223822,0.3157894736842105,6,49,9,17,0.13626568749468254,0.6470588235294118,11,48,4,0.7731911693631691,False
otsu_T1c,0.05,100,33,0.6666666666666666,12156.0,19983,0.16417910447761194,31,0.0,0.0,0,66,19,19,0.00021439085264175542,0.15789473684210525,3,52,9,17,0.11302650402135708,0.47058823529411764,8,51,3,0.641328689709317,False
otsu_T1c,0.1,100,33,0.12121212121212122,0.0,16382,0.05970149253731343,31,0.0,0.0,0,66,11,19,0.0,0.0,0,55,7,17,0.07942744059597745,0.23529411764705882,4,55,2,0.45068275662810525,False
otsu_T1c,0.2,100,33,0.0,0.0,0,0.04477611940298507,31,0.0,0.0,0,66,2,19,0.0,0.0,0,55,1,17,0.07726291172644671,0.17647058823529413,3,56,1,0.43840090755426475,False
otsu_T1c,0.3,100,33,0.0,0.0,0,0.04477611940298507,31,0.0,0.0,0,66,1,19,0.0,0.0,0,55,0,17,0.07726291172644671,0.17647058823529413,3,56,0,0.43840090755426475,False
otsu_T1c,0.4,100,33,0.0,0.0,0,0.029850746268656716,31,0.0,0.0,0,66,1,19,0.0,0.0,0,55,0,17,0.06114441682310665,0.11764705882352941,2,57,0,0.346942242120429,False
otsu_T1c,0.5,100,33,0.0,0.0,0,0.014925373134328358,31,0.0,0.0,0,66,1,19,0.0,0.0,0,55,0,17,0.013103546465144437,0.058823529411764705,1,58,0,0.07435141304068209,False
