section_order,source_table,source_path,source_row_index,axis,target_scope,metodo,is_axis_best,axis_primary_metric,axis_primary_direction,n,lesionwise_dice_mean,lesionwise_dice_median,global_dice_mean,global_dice_median,hd95_median_defined,lesion_tp,lesion_fn,lesion_fp,absent_flood_gt_10000_rate,absent_fp_volume_median,absent_fp_volume_max,mode,method,selection,chosen_threshold,large_baseline,large_90pct_target,large_lesionwise,large_detection_ratio,absent_flood_rate,absent_median_fp_vox,present_dominant_found_rate,large_dominant_found_rate,first_threshold_large_drop_gt_10pct,flood_at_first_large_drop_gt_10pct,threshold,n_cases,absent_n,absent_max_fp_vox,small_n,small_lesionwise_mean,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_lesion_tp,large_lesion_fn,large_lesion_fp,large_detection_ratio_vs_baseline,large_detection_drop,keeps_large_detection_90pct,representative_curve,train_tpr,train_tnr,train_balanced_accuracy,train_fp_accept_rate,train_fn_rate,threshold_policy,feasible_tpr95,train_auc,train_n_true_et_components,train_n_fp_components,coef_log10_isoperimetric,coef_radius_over_bbox_diag,coef_radius_over_equiv_sphere,coef_log1p_eroded_subcomponents,intercept,holdout_fold,small_dominant_found_rate,medium_dominant_found_rate,delta_absent_flood_vs_otsu,delta_absent_flood_ci_low,delta_absent_flood_ci_high,paired_flood_mcnemar_p,delta_absent_median_fp_vs_otsu,paired_absent_fp_vox_delta_median_ci_low,paired_absent_fp_vox_delta_median_ci_high,paired_fp_vox_wilcoxon_p,small_detection_baseline_mean,small_retention_vs_detection_baseline,small_delta_vs_detection_best,small_delta_ci_low,small_delta_ci_high,small_paired_wilcoxon_p,small_baseline_dominant_found_rate,small_dominant_found_delta,medium_detection_baseline_mean,medium_retention_vs_detection_baseline,medium_delta_vs_detection_best,medium_delta_ci_low,medium_delta_ci_high,medium_paired_wilcoxon_p,medium_baseline_dominant_found_rate,medium_dominant_found_delta,large_detection_baseline_mean,large_retention_vs_detection_baseline,large_delta_vs_detection_best,large_delta_ci_low,large_delta_ci_high,large_paired_wilcoxon_p,large_baseline_dominant_found_rate,large_dominant_found_delta,large_detection_preserved_90pct,prior,case_id,n_components,n_fp_components,n_fp_rejected,n_fp_accepted,threshold_used,min_fp_shape_score,max_fp_shape_score,shape_score_threshold,clears_clean_bar,verdict_category,selected_method,selected_threshold,p1_flood_at_90pct,p1_median_fp_at_90pct,p1_large_detection_ratio,fold,score_engine,vol_bin,gt_vox,pred_vox,flood_gt_10000_vox,correct_absent_pred_lt_10_vox,dominant_found
2,p1_fixed_detection_cost_operating_points,phase2\p1_spatial_atlas\tradeoff_analysis\p1_fixed_detection_cost_operating_points.csv,0,,,,,,,,,,,,,,,,,,,map_atlas_x_enhancement,atlas_map,closest_to_90pct_no_config_preserves_90pct,0.02,0.1762380286972449,0.1586142258275204,0.0095617104568244,0.0542545245626313,0.0,284.0,0.2686567164179104,0.5294117647058824,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,p1_fixed_detection_cost_operating_points,phase2\p1_spatial_atlas\tradeoff_analysis\p1_fixed_detection_cost_operating_points.csv,1,,,,,,,,,,,,,,,,,,,post_filter,variational_spline,lowest_fp_while_large_detection_ge_90pct,0.001,0.1762380286972449,0.1586142258275204,0.1625716320653309,0.9224548939128728,0.8181818181818182,18518.0,0.4477611940298507,0.7647058823529411,0.002,0.7272727272727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,p1_fixed_detection_cost_operating_points,phase2\p1_spatial_atlas\tradeoff_analysis\p1_fixed_detection_cost_operating_points.csv,2,,,,,,,,,,,,,,,,,,,pre_filter,variational_spline,lowest_fp_while_large_detection_ge_90pct,0.0,0.1762380286972449,0.1586142258275204,0.1762380286972449,1.0,0.9696969696969696,18837.0,0.4925373134328358,0.8235294117647058,0.001,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p1_tradeoff_representative_curves,phase2\p1_spatial_atlas\tradeoff_analysis\p1_tradeoff_representative_curves.csv,0,,,,,,,,,,,,,,,,,,,map_atlas_x_enhancement,atlas_map,,,,,,,1.0,7221032.0,0.9552238805970148,1.0,,,0.0,100.0,33.0,7221032.0,31.0,7.656539199680472e-05,28.0,38.0,3.0,19.0,0.0006308809258227,19.0,36.0,0.0,17.0,0.0035061000748742,17.0,42.0,0.0,0.0198941176361955,0.9801058823638044,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p1_tradeoff_representative_curves,phase2\p1_spatial_atlas\tradeoff_analysis\p1_tradeoff_representative_curves.csv,1,,,,,,,,,,,,,,,,,,,map_atlas_x_enhancement,atlas_map,,,,,,,1.0,45344.0,0.835820895522388,1.0,,,0.0001,100.0,33.0,91541.0,31.0,0.0021459233362942,33.0,33.0,2579.0,19.0,0.0041051364172936,33.0,22.0,1642.0,17.0,0.0080926285248578,31.0,28.0,1427.0,0.0459187417419422,0.9540812582580576,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p1_tradeoff_representative_curves,phase2\p1_spatial_atlas\tradeoff_analysis\p1_tradeoff_representative_curves.csv,2,,,,,,,,,,,,,,,,,,,map_atlas_x_enhancement,atlas_map,,,,,,,1.0,37278.0,0.835820895522388,1.0,,,0.0002,100.0,33.0,77822.0,31.0,0.0021835186585771,32.0,34.0,2540.0,19.0,0.0043446714285221,33.0,22.0,1683.0,17.0,0.0085105520958998,33.0,26.0,1396.0,0.0482901003762353,0.9517098996237646,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p1_tradeoff_representative_curves,phase2\p1_spatial_atlas\tradeoff_analysis\p1_tradeoff_representative_curves.csv,3,,,,,,,,,,,,,,,,,,,map_atlas_x_enhancement,atlas_map,,,,,,,1.0,28985.0,0.8059701492537313,1.0,,,0.0005,100.0,33.0,57542.0,31.0,0.0022853506811121,31.0,35.0,2421.0,19.0,0.0048612002942,34.0,21.0,1640.0,17.0,0.0088705926447052,34.0,25.0,1325.0,0.0503330223918004,0.9496669776081996,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p1_tradeoff_representative_curves,phase2\p1_spatial_atlas\tradeoff_analysis\p1_tradeoff_representative_curves.csv,4,,,,,,,,,,,,,,,,,,,map_atlas_x_enhancement,atlas_map,,,,,,,1.0,22221.0,0.7910447761194029,1.0,,,0.001,100.0,33.0,41206.0,31.0,0.0028476428602256,29.0,37.0,2132.0,19.0,0.0059161058207361,35.0,20.0,1499.0,17.0,0.0085799602623891,32.0,27.0,1167.0,0.0486839323261406,0.9513160676738592,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p1_tradeoff_representative_curves,phase2\p1_spatial_atlas\tradeoff_analysis\p1_tradeoff_representative_curves.csv,5,,,,,,,,,,,,,,,,,,,map_atlas_x_enhancement,atlas_map,,,,,,,0.8181818181818182,14611.0,0.7611940298507462,1.0,,,0.002,100.0,33.0,26071.0,31.0,0.0031381201520811,25.0,41.0,1785.0,19.0,0.0062895108444775,30.0,25.0,1303.0,17.0,0.0089804214328657,29.0,30.0,936.0,0.0509562067803933,0.9490437932196067,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,p1_tradeoff_representative_curves,phase2\p1_spatial_atlas\tradeoff_analysis\p1_tradeoff_representative_curves.csv,6,,,,,,,,,,,,,,,,,,,map_atlas_x_enhancement,atlas_map,,,,,,,0.2424242424242424,7031.0,0.6417910447761194,0.8823529411764706,,,0.005,100.0,33.0,13635.0,31.0,0.0031084262019638,15.0,51.0,1234.0,19.0,0.0057633936127163,27.0,28.0,897.0,17.0,0.0080625143935937,25.0,34.0,650.0,0.0457478698167017,0.9542521301832982,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
