case_id,method,dice_recomputed,dice_csv,dice_abs_diff,jaccard_recomputed,jaccard_csv,jaccard_abs_diff,vol_gt_recomputed,vol_gt_csv,vol_pred_recomputed,vol_pred_csv
BraTS-GLI-02071-100,gmm_T1c,0.8059739719229723,0.806,2.6028077027784313e-05,0.6750053625053625,0.675,5.362505362427328e-06,35203,35203,27268,27268
BraTS-GLI-02071-100,level_set,0.4674981021581173,0.4675,1.897841882703144e-06,0.30505548007246375,0.3051,4.4519927536235127e-05,35203,35203,10902,10902
BraTS-GLI-02071-100,otsu_T1c,0.7645147241113606,0.7645,1.4724111360608916e-05,0.6187971148109984,0.6188,2.8851890016001747e-06,35203,35203,24495,24495
BraTS-GLI-02071-100,rango_doble,0.17072648741196156,0.1707,2.6487411961567675e-05,0.09333021346294977,0.0933,3.0213462949776893e-05,35203,35203,273185,273185
BraTS-GLI-02071-100,spline,0.7288486589398443,0.7288,4.8658939844292703e-05,0.5733767769398533,0.5734,2.3223060146682073e-05,35203,35203,24675,24675
BraTS-GLI-02071-100,sustraccion,0.5334449067509666,0.5334,4.4906750966577924e-05,0.36374010714398924,0.3637,4.0107143989220884e-05,35203,35203,93860,93860
BraTS-GLI-02071-100,variational_spline,0.5470197883661146,0.547,1.978836611460366e-05,0.3764812376563529,0.3765,1.8762343647116264e-05,35203,35203,14978,14978
BraTS-GLI-02078-100,bspline,0.0,0.0,0.0,0.0,0.0,0.0,21072,21072,13220,13220
BraTS-GLI-02078-100,fast_marching,0.261559833300258,0.2616,4.0166699741994716e-05,0.15045662100456622,0.1505,4.337899543377377e-05,21072,21072,4123,4123
BraTS-GLI-02078-100,gmm_2d,0.2634435699608421,0.2634,4.3569960842093636e-05,0.15170458351008015,0.1517,4.583510080147235e-06,21072,21072,133686,133686
BraTS-GLI-02078-100,gmm_T1c,0.0,0.0,0.0,0.0,0.0,0.0,21072,21072,13220,13220
BraTS-GLI-02078-100,level_set,0.0,0.0,0.0,0.0,0.0,0.0,21072,21072,13220,13220
BraTS-GLI-02078-100,otsu_T1c,0.0,0.0,0.0,0.0,0.0,0.0,21072,21072,13337,13337
BraTS-GLI-02078-100,rango_doble,0.11895752472958668,0.119,4.247527041331689e-05,0.06324021190031112,0.0632,4.0211900311115656e-05,21072,21072,307684,307684
BraTS-GLI-02078-100,spline,0.0,0.0,0.0,0.0,0.0,0.0,21072,21072,5581,5581
BraTS-GLI-02078-100,sustraccion,0.3147223727963366,0.3147,2.2372796336600498e-05,0.1867480869122716,0.1867,4.808691227159434e-05,21072,21072,102529,102529
