holdout_fold,method,k,train_absent_flood_rate,train_absent_median_fp_vox,train_large_lesionwise_mean,train_large_own_baseline_mean,train_large_retention_vs_own_baseline,train_keeps_90pct_large,selected_k_for_fold_method,selection_policy,is_selected
2,gmm_2d,2,0.9615384615384616,78392.5,0.04708480519808027,0.004010996651881427,11.738929070408059,True,,,False
2,gmm_2d,3,0.9615384615384616,79356.5,0.03566652692513471,0.004010996651881427,8.89218566373141,True,,,False
2,gmm_2d,4,0.9615384615384616,80208.0,0.02878074660787073,0.004010996651881427,7.175460142648244,True,,,False
2,gmm_2d,5,0.9615384615384616,80809.5,0.02415229019659036,0.004010996651881427,6.021518413699327,True,,,False
2,gmm_2d,1,0.9230769230769231,76141.0,0.06981800260005651,0.004010996651881427,17.40664694080639,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
2,variational_spline,0,0.0,0.0,0.0,0.17852091953266477,0.0,False,,,False
2,variational_spline,1,0.9615384615384616,19415.0,0.17852091953266477,0.17852091953266477,1.0,True,,,False
2,variational_spline,2,0.9615384615384616,19415.0,0.17852091953266477,0.17852091953266477,1.0,True,,,False
2,variational_spline,3,0.9615384615384616,19415.0,0.17852091953266477,0.17852091953266477,1.0,True,,,False
2,variational_spline,4,0.9615384615384616,19415.0,0.17852091953266477,0.17852091953266477,1.0,True,,,False
2,variational_spline,5,0.9615384615384616,19415.0,0.17852091953266477,0.17852091953266477,1.0,True,,,False
2,variational_spline,1,0.9615384615384616,19415.0,0.17852091953266477,0.17852091953266477,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
3,otsu_T1c,0,0.0,0.0,0.0,0.11331060996319417,0.0,False,,,False
3,otsu_T1c,1,0.9259259259259259,13841.0,0.11331060996319417,0.11331060996319417,1.0,True,,,False
3,otsu_T1c,2,0.9259259259259259,13841.0,0.11331060996319417,0.11331060996319417,1.0,True,,,False
3,otsu_T1c,3,0.9259259259259259,13841.0,0.11331060996319417,0.11331060996319417,1.0,True,,,False
3,otsu_T1c,4,0.9259259259259259,13841.0,0.11331060996319417,0.11331060996319417,1.0,True,,,False
3,otsu_T1c,5,0.9259259259259259,13841.0,0.11331060996319417,0.11331060996319417,1.0,True,,,False
3,otsu_T1c,1,0.9259259259259259,13841.0,0.11331060996319417,0.11331060996319417,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
3,gmm_T1c,0,0.0,0.0,0.0,0.12209717762128161,0.0,False,,,False
3,gmm_T1c,1,0.9629629629629629,18512.0,0.12209717762128161,0.12209717762128161,1.0,True,,,False
3,gmm_T1c,2,0.9629629629629629,18512.0,0.12209717762128161,0.12209717762128161,1.0,True,,,False
3,gmm_T1c,3,0.9629629629629629,18512.0,0.12209717762128161,0.12209717762128161,1.0,True,,,False
3,gmm_T1c,4,0.9629629629629629,18512.0,0.12209717762128161,0.12209717762128161,1.0,True,,,False
3,gmm_T1c,5,0.9629629629629629,18512.0,0.12209717762128161,0.12209717762128161,1.0,True,,,False
3,gmm_T1c,1,0.9629629629629629,18512.0,0.12209717762128161,0.12209717762128161,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
3,sustraccion,0,0.0,0.0,0.0,0.009359305258840277,0.0,False,,,False
3,sustraccion,1,0.8888888888888888,60070.0,0.13136482165338326,0.009359305258840277,14.03574496400824,True,,,False
3,sustraccion,2,0.8888888888888888,60538.0,0.08712834350836388,0.009359305258840277,9.309274684257927,True,,,False
3,sustraccion,3,0.8888888888888888,60861.0,0.0680668152009065,0.009359305258840277,7.2726354487278195,True,,,False
3,sustraccion,4,0.8888888888888888,61012.0,0.055226784199476193,0.009359305258840277,5.90073543624534,True,,,False
3,sustraccion,5,0.8888888888888888,61151.0,0.04658949102919831,0.009359305258840277,4.977879205851575,True,,,False
3,sustraccion,1,0.8888888888888888,60070.0,0.13136482165338326,0.009359305258840277,14.03574496400824,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
3,gmm_2d,0,0.0,0.0,0.0,0.0048932662141920845,0.0,False,,,False
3,gmm_2d,1,0.9259259259259259,72438.0,0.08715139131975144,0.0048932662141920845,17.810474130139024,True,,,False
3,gmm_2d,2,0.9259259259259259,76061.0,0.058760610238935466,0.0048932662141920845,12.008463808592783,True,,,False
3,gmm_2d,3,0.9259259259259259,77455.0,0.044537097535794566,0.0048932662141920845,9.101711533008833,True,,,False
3,gmm_2d,4,0.9259259259259259,78659.0,0.03596265184359461,0.0048932662141920845,7.349416579725638,True,,,False
3,gmm_2d,5,0.9259259259259259,79461.0,0.030198986843550678,0.0048932662141920845,6.171539728609832,True,,,False
3,gmm_2d,1,0.9259259259259259,72438.0,0.08715139131975144,0.0048932662141920845,17.810474130139024,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
3,variational_spline,0,0.0,0.0,0.0,0.1264257325472919,0.0,False,,,False
3,variational_spline,1,0.9629629629629629,18518.0,0.1264257325472919,0.1264257325472919,1.0,True,,,False
3,variational_spline,2,0.9629629629629629,18518.0,0.1264257325472919,0.1264257325472919,1.0,True,,,False
3,variational_spline,3,0.9629629629629629,18518.0,0.1264257325472919,0.1264257325472919,1.0,True,,,False
3,variational_spline,4,0.9629629629629629,18518.0,0.1264257325472919,0.1264257325472919,1.0,True,,,False
3,variational_spline,5,0.9629629629629629,18518.0,0.1264257325472919,0.1264257325472919,1.0,True,,,False
3,variational_spline,1,0.9629629629629629,18518.0,0.1264257325472919,0.1264257325472919,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
4,otsu_T1c,0,0.0,0.0,0.0,0.17555870602910334,0.0,False,,,False
4,otsu_T1c,1,0.9259259259259259,13855.0,0.17555870602910334,0.17555870602910334,1.0,True,,,False
4,otsu_T1c,2,0.9259259259259259,13855.0,0.17555870602910334,0.17555870602910334,1.0,True,,,False
4,otsu_T1c,3,0.9259259259259259,13855.0,0.17555870602910334,0.17555870602910334,1.0,True,,,False
4,otsu_T1c,4,0.9259259259259259,13855.0,0.17555870602910334,0.17555870602910334,1.0,True,,,False
4,otsu_T1c,5,0.9259259259259259,13855.0,0.17555870602910334,0.17555870602910334,1.0,True,,,False
4,otsu_T1c,1,0.9259259259259259,13855.0,0.17555870602910334,0.17555870602910334,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
4,gmm_T1c,0,0.0,0.0,0.0,0.18625249197849858,0.0,False,,,False
4,gmm_T1c,1,0.9629629629629629,18837.0,0.18625249197849858,0.18625249197849858,1.0,True,,,False
4,gmm_T1c,2,0.9629629629629629,18837.0,0.18625249197849858,0.18625249197849858,1.0,True,,,False
4,gmm_T1c,3,0.9629629629629629,18837.0,0.18625249197849858,0.18625249197849858,1.0,True,,,False
4,gmm_T1c,4,0.9629629629629629,18837.0,0.18625249197849858,0.18625249197849858,1.0,True,,,False
4,gmm_T1c,5,0.9629629629629629,18837.0,0.18625249197849858,0.18625249197849858,1.0,True,,,False
4,gmm_T1c,1,0.9629629629629629,18837.0,0.18625249197849858,0.18625249197849858,1.0,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
4,sustraccion,0,0.0,0.0,0.0,0.005735071053585131,0.0,False,,,False
4,sustraccion,1,0.9259259259259259,61533.0,0.20346999913454056,0.005735071053585131,35.47820022340378,True,,,False
4,sustraccion,2,0.9259259259259259,63043.0,0.12840435166771597,0.005735071053585131,22.38932185285609,True,,,False
4,sustraccion,3,0.9259259259259259,63592.0,0.09503958359933815,0.005735071053585131,16.571648844686347,True,,,False
4,sustraccion,4,0.9259259259259259,63959.0,0.07570676505565639,0.005735071053585131,13.200667323612368,True,,,False
4,sustraccion,5,0.9259259259259259,64289.0,0.06300036709469095,0.005735071053585131,10.98510663704993,True,,,False
4,sustraccion,1,0.9259259259259259,61533.0,0.20346999913454056,0.005735071053585131,35.47820022340378,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
4,gmm_2d,0,0.0,0.0,0.0,0.003535155323893691,0.0,False,,,False
4,gmm_2d,1,0.8888888888888888,70818.0,0.09824988417900522,0.003535155323893691,27.79223971149048,True,,,False
4,gmm_2d,2,0.9259259259259259,73680.0,0.0655813496559858,0.003535155323893691,18.551193270838578,True,,,False
4,gmm_2d,3,0.9259259259259259,75316.0,0.04958051564888309,0.003535155323893691,14.024989316247106,True,,,False
4,gmm_2d,4,0.9259259259259259,76805.0,0.03994617274460881,0.003535155323893691,11.299693813908943,True,,,False
4,gmm_2d,5,0.9259259259259259,78260.0,0.033480094315913964,0.003535155323893691,9.470614795798651,True,,,False
4,gmm_2d,1,0.8888888888888888,70818.0,0.09824988417900522,0.003535155323893691,27.79223971149048,True,1.0,min_flood_then_median_fp_subject_to_train_large_ge_90pct,True
4,variational_spline,0,0.0,0.0,0.0,0.193459175240535,0.0,False,,,False
