prior_stage,method,construction_type,mode,threshold,absent_flood_rate,absent_median_fp_vox,large_lesionwise,large_detection_ratio,keeps_large_detection_90pct,source
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.001,0.8484848484848485,28418.0,0.0160972354437142,0.09133803619289942,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.002,0.7878787878787878,24185.0,0.0164157110557425,0.09314511276078025,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.005,0.7878787878787878,17901.0,0.017250303461504,0.0978807104744566,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.01,0.6666666666666666,12368.0,0.0187935427189479,0.10663727265829148,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.02,0.0303030303030303,3854.0,0.0299121522711014,0.16972586729556974,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.05,0.0,74.0,0.0060025249772212,0.034059192681579496,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.1,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,sustraccion,intensity/statistical,pre_filter,0.2,0.0,0.0,0.0,0.0,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.0,0.9696969696969696,18837.0,0.1762380286972449,1.0,True,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.001,0.2727272727272727,7272.0,0.0847328796243185,0.48078658306987243,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.002,0.2424242424242424,6801.0,0.0768045787014724,0.43580025984864573,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.005,0.2121212121212121,4975.0,0.0792925997281118,0.44991765009087037,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.01,0.2121212121212121,2834.0,0.0639214121209293,0.36269931406653655,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.02,0.1818181818181818,776.0,0.0546686476651195,0.3101977936840945,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
P1_spatial,variational_spline,deformable/region-based,pre_filter,0.05,0.0,0.0,0.0026627832558006,0.015109016342749339,False,phase2/p1_spatial_atlas/p1_spatial_sweep_summary.csv
