case_id,metodo,variante,multimodal,et_presente,dice,jaccard,sensibilidad,especificidad,pred_voxeles
BraTS-GLI-00463-101,RegionGrowing,sub,False,True,0.575591985428051,0.4040920716112532,0.432991513437058,0.9998877903718868,5707
BraTS-GLI-00463-101,RegionGrowing,sub_morf,False,True,0.3182661619535367,0.18924883043516638,0.18953323903818953,0.9999976420720915,2161
BraTS-GLI-00463-101,Watershed,base,False,True,0.6181707317073171,0.44735680875474365,0.4481082036775106,0.9999973646688082,5088
BraTS-GLI-00463-101,Watershed,morf,False,True,0.5518805518805519,0.3811015400678674,0.3871994342291372,0.9999748950028573,4561
BraTS-GLI-00463-101,Watershed,sub,False,True,0.5617291799109981,0.39055869872701554,0.39055869872701554,1.0,4418
BraTS-GLI-00463-101,Watershed,sub_morf,False,True,0.5182681055779482,0.3497718497718498,0.35236916548797736,0.9999883490620995,4070
BraTS-GLI-00463-101,GMM_multimodal,base,True,True,0.14623723231237198,0.07888670269000353,0.9498762376237624,0.982676719761655,135641
BraTS-GLI-00463-101,GMM_multimodal,morf,True,True,0.6699182950697443,0.5036670248049704,0.9531471004243282,0.9985998069273148,20877
BraTS-GLI-02060-100,Otsu,base,False,True,0.3678243041749503,0.22535827798184344,0.59279098873592,0.9954773306196576,44409
BraTS-GLI-02060-100,Otsu,morf,False,True,0.5251177128146065,0.35604042259990815,0.38803504380475595,0.9997507310385129,9546
BraTS-GLI-02060-100,Otsu,sub,False,True,0.25457955860637743,0.14585572196181548,0.3193491864831039,0.9967004843872226,30139
BraTS-GLI-02060-100,Otsu,sub_morf,False,True,0.1728316034932102,0.09458986036734898,0.09461827284105132,0.9999991667889867,1896
BraTS-GLI-02060-100,RegionGrowing,base,False,True,0.45082102386505524,0.2910064174701177,0.4789987484355444,0.9982080408473367,22472
BraTS-GLI-02060-100,RegionGrowing,morf,False,True,0.4952327928178718,0.3291092405882897,0.3562453066332916,0.9997712835768415,8763
BraTS-GLI-02060-100,RegionGrowing,sub,False,True,0.0315070402899763,0.016005665722379603,0.02262828535669587,0.9988522518291412,8717
BraTS-GLI-02060-100,RegionGrowing,sub_morf,False,True,0.0,0.0,0.0,0.9997954466962281,1473
BraTS-GLI-02060-100,Watershed,base,False,True,0.10964705882352942,0.05800348518795121,0.05832290362953692,0.9999847244647556,1275
BraTS-GLI-02060-100,Watershed,morf,False,True,0.09846328969834946,0.051780903920981745,0.05196495619524406,0.9999901403363423,1109
BraTS-GLI-02060-100,Watershed,sub,False,True,0.010249266132643415,0.005151030206041208,0.005156445556946183,0.9999970837614534,124
BraTS-GLI-02060-100,Watershed,sub_morf,False,True,0.005689474472226381,0.002852852852852853,0.002853566958698373,0.9999993056574888,62
BraTS-GLI-02060-100,GMM_multimodal,base,True,True,0.2646301910738208,0.15249210267036395,0.7515894868585732,0.9891021554196835,93489
BraTS-GLI-02060-100,GMM_multimodal,morf,True,True,0.50411435452579,0.3370005963029219,0.565857321652065,0.9981162487673685,24868
