mode,method,threshold,n_cases,absent_n,absent_flood_rate,absent_median_fp_vox,absent_max_fp_vox,small_n,small_lesionwise_mean,small_lesion_tp,small_lesion_fn,small_lesion_fp,medium_n,medium_lesionwise_mean,medium_lesion_tp,medium_lesion_fn,medium_lesion_fp,large_n,large_lesionwise_mean,large_lesion_tp,large_lesion_fn,large_lesion_fp,present_dominant_found_rate,large_dominant_found_rate,large_detection_ratio_vs_baseline,large_detection_drop,keeps_large_detection_90pct
post_filter,otsu_T1c,0.005,100,33,0.4242424242424242,0.0,740909,31,0.0001601636746012,8,58,9,19,0.0013670117263437,6,49,3,17,0.1161397496128783,7,52,0,0.31343283582089554,0.4117647058823529,0.6589936943313864,0.34100630566861356,False
post_filter,otsu_T1c,0.01,100,33,0.0303030303030303,0.0,10295,31,0.0,0,66,2,19,0.0,0,55,1,17,0.0418560636394164,3,56,0,0.04477611940298507,0.17647058823529413,0.23749734350081692,0.762502656499183,False
post_filter,otsu_T1c,0.02,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0259943876196356,2,57,0,0.029850746268656716,0.11764705882352941,0.14749590546255337,0.8525040945374467,False
post_filter,otsu_T1c,0.05,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,otsu_T1c,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,otsu_T1c,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,sustraccion,0.0,100,33,0.9393939393939394,76915.0,135522,31,0.0033756412897218,50,16,5244,19,0.0053801013648473,41,14,2990,17,0.0086725241888095,38,21,2086,0.9104477611940298,1.0,0.04920915339848599,0.950790846601514,False
post_filter,sustraccion,0.001,100,33,0.8484848484848485,70986.0,123170,31,0.0056785483239179,36,30,2018,19,0.0115524692207001,36,19,1138,17,0.0223100503687472,37,22,740,0.835820895522388,1.0,0.12659044437607223,0.8734095556239277,False
post_filter,sustraccion,0.002,100,33,0.7878787878787878,67492.0,123094,31,0.0063532622771163,34,32,1733,19,0.0119356697991622,34,21,991,17,0.0245459263973958,35,24,639,0.835820895522388,1.0,0.1392771275237234,0.8607228724762765,False
post_filter,sustraccion,0.005,100,33,0.3333333333333333,2915.0,105586,31,0.0072040062488148,22,44,1266,19,0.0119990547868119,23,32,740,17,0.0230950275628642,21,38,467,0.5671641791044776,0.7058823529411765,0.13104451822108495,0.868955481778915,False
post_filter,sustraccion,0.01,100,33,0.0303030303030303,1410.0,88881,31,0.00536439757395,9,57,833,19,0.0152337790564878,18,37,485,17,0.0243021930308553,14,45,311,0.40298507462686567,0.5882352941176471,0.1378941492395121,0.862105850760488,False
post_filter,sustraccion,0.02,100,33,0.0,310.0,1220,31,0.0,0,66,259,19,0.0214014728798678,11,44,135,17,0.044669117032968,8,51,93,0.19402985074626866,0.35294117647058826,0.2534590142840511,0.7465409857159488,False
post_filter,sustraccion,0.05,100,33,0.0,0.0,338,31,0.0,0,66,27,19,0.0198311351337715,2,53,9,17,0.0,0,59,5,0.029850746268656716,0.0,0.0,1.0,False
post_filter,sustraccion,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,sustraccion,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,variational_spline,0.0,100,33,0.9696969696969696,18837.0,278959,31,0.0007354880872298,6,60,25,19,0.0232966704206774,13,42,6,17,0.1762380286972449,14,45,3,0.4925373134328358,0.8235294117647058,1.0,0.0,True
post_filter,variational_spline,0.001,100,33,0.8181818181818182,18518.0,278959,31,0.0007180124947418,5,61,22,19,0.0232877739403384,12,43,6,17,0.1625716320653309,13,46,2,0.44776119402985076,0.7647058823529411,0.9224548939128729,0.07754510608712706,True
post_filter,variational_spline,0.002,100,33,0.7272727272727273,16574.0,278959,31,0.0007180124947418,5,61,16,19,0.0232777230810729,11,44,5,17,0.142557144858395,11,48,2,0.40298507462686567,0.6470588235294118,0.8088898060888465,0.19111019391115347,False
post_filter,variational_spline,0.005,100,33,0.303030303030303,0.0,167058,31,0.0005895217015807,2,64,7,19,0.0168751502190532,4,51,3,17,0.123365906669813,7,52,0,0.19402985074626866,0.4117647058823529,0.6999959519618796,0.3000040480381204,False
post_filter,variational_spline,0.01,100,33,0.0303030303030303,0.0,11005,31,0.0,0,66,2,19,0.0,0,55,1,17,0.0437948090188643,3,56,0,0.04477611940298507,0.17647058823529413,0.24849806447902548,0.7515019355209746,False
post_filter,variational_spline,0.02,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0329088612514383,2,57,0,0.029850746268656716,0.11764705882352941,0.18672962637349766,0.8132703736265023,False
post_filter,variational_spline,0.05,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,variational_spline,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
post_filter,variational_spline,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
pre_filter,gmm_2d,0.0,100,33,1.0,94636.0,802975,31,0.0029764435905203,44,22,4551,19,0.0028305967808639,32,23,3188,17,0.0042083640030742,33,26,3217,0.9402985074626866,1.0,0.02387886447767552,0.9761211355223245,False
pre_filter,gmm_2d,0.001,100,33,1.0,34069.0,359199,31,0.0048625604649714,38,28,2712,19,0.006337741086578,34,21,2124,17,0.0073187272072947,37,22,1990,0.8656716417910447,1.0,0.04152751401836982,0.9584724859816302,False
pre_filter,gmm_2d,0.002,100,33,1.0,29766.0,318574,31,0.0053654698801567,39,27,2513,19,0.0066911617269445,34,21,1989,17,0.0078464235078118,36,23,1838,0.8656716417910447,1.0,0.04452173895618739,0.9554782610438126,False
pre_filter,gmm_2d,0.005,100,33,0.9696969696969696,22955.0,249890,31,0.0059056013285174,34,32,2193,19,0.0070013033002492,32,23,1749,17,0.0084488609461593,39,20,1585,0.8208955223880597,1.0,0.047940055892666596,0.9520599441073334,False
pre_filter,gmm_2d,0.01,100,33,0.7575757575757576,15866.0,171821,31,0.0047473345096347,27,39,1762,19,0.007701901349815,31,24,1378,17,0.0093533621060059,33,26,1305,0.7761194029850746,1.0,0.05307232596248462,0.9469276740375154,False
pre_filter,gmm_2d,0.02,100,33,0.0909090909090909,5013.0,48877,31,0.001987076023527,7,59,770,19,0.0106057653442564,24,31,560,17,0.0118596939137205,21,38,508,0.5671641791044776,0.7647058823529411,0.06729361421815484,0.9327063857818452,False
pre_filter,gmm_2d,0.05,100,33,0.0,129.0,5664,31,0.0,0,66,81,19,0.0162959461020746,8,47,83,17,0.0071877855590334,8,51,49,0.22388059701492538,0.4117647058823529,0.0407845322156952,0.9592154677843048,False
pre_filter,gmm_2d,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
pre_filter,gmm_2d,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
pre_filter,gmm_T1c,0.0,100,33,0.9696969696969696,18837.0,1420869,31,0.0005976993391608,6,60,25,19,0.0197827726208886,13,42,6,17,0.1706676623760037,14,45,3,0.4925373134328358,0.8235294117647058,0.968392937878292,0.03160706212170805,True
pre_filter,gmm_T1c,0.001,100,33,0.303030303030303,7272.0,561239,31,0.0002690638518093,5,61,222,19,0.0133415899625489,11,44,133,17,0.0473174068337196,12,47,87,0.417910447761194,0.7058823529411765,0.2684857926719383,0.7315142073280617,False
pre_filter,gmm_T1c,0.002,100,33,0.2727272727272727,6801.0,504571,31,0.0003716351949216,5,61,236,19,0.0137701021770848,12,43,131,17,0.0406740695813342,12,47,90,0.417910447761194,0.7058823529411765,0.23079053869359387,0.7692094613064061,False
pre_filter,gmm_T1c,0.005,100,33,0.2424242424242424,4975.0,405473,31,0.0005195088451078,5,61,236,19,0.0124064781703054,11,44,136,17,0.0455544711063232,12,47,79,0.40298507462686567,0.7058823529411765,0.2584826410228416,0.7415173589771584,False
pre_filter,gmm_T1c,0.01,100,33,0.2424242424242424,2834.0,289781,31,0.0009071879331697,5,61,228,19,0.0164022851830323,11,44,136,17,0.0380953402936403,12,47,70,0.40298507462686567,0.7058823529411765,0.2161584566920195,0.7838415433079805,False
pre_filter,gmm_T1c,0.02,100,33,0.2424242424242424,776.0,118159,31,0.0023824568662738,2,64,176,19,0.0157764606625086,9,46,105,17,0.0325298343189334,11,48,38,0.29850746268656714,0.5882352941176471,0.1845789728777302,0.8154210271222698,False
pre_filter,gmm_T1c,0.05,100,33,0.0909090909090909,0.0,19177,31,2.663257639921669e-05,1,65,25,19,0.00062654418013,2,53,18,17,0.0012045841910602,5,54,10,0.11940298507462686,0.29411764705882354,0.00683498448073047,0.9931650155192695,False
pre_filter,gmm_T1c,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
pre_filter,gmm_T1c,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
pre_filter,otsu_T1c,0.0,100,33,0.9393939393939394,13935.0,740909,31,0.0001601636746012,8,58,23,19,0.0030580804641909,10,45,9,17,0.1650376673385514,13,46,4,0.4626865671641791,0.7647058823529411,0.9364475338184002,0.06355246618159982,True
pre_filter,otsu_T1c,0.001,100,33,0.2121212121212121,5770.0,308986,31,0.000693659917098,10,56,289,19,0.0009338104060397,8,47,157,17,0.0553057442337055,11,48,72,0.40298507462686567,0.6470588235294118,0.3138127715256843,0.6861872284743157,False
pre_filter,otsu_T1c,0.002,100,33,0.2121212121212121,5067.0,274755,31,0.0003487868305325,11,55,298,19,0.0011686606747772,8,47,174,17,0.0559420192833332,11,48,73,0.40298507462686567,0.6470588235294118,0.3174230879501873,0.6825769120498126,False
pre_filter,otsu_T1c,0.005,100,33,0.2121212121212121,3920.0,221870,31,0.0001157279377171,10,56,313,19,0.0046108015445306,9,46,174,17,0.0550015787320102,11,48,63,0.40298507462686567,0.6470588235294118,0.3120868925882966,0.6879131074117034,False
pre_filter,otsu_T1c,0.01,100,33,0.2121212121212121,2362.0,161393,31,0.0004038580224232,9,57,286,19,0.0043692781289696,9,46,163,17,0.0451955000650795,11,48,56,0.40298507462686567,0.6470588235294118,0.25644578754747516,0.7435542124525248,False
pre_filter,otsu_T1c,0.02,100,33,0.2121212121212121,736.0,68541,31,0.0011923033744096,2,64,239,19,0.0046120085998585,9,46,145,17,0.0422490356928285,9,50,37,0.26865671641791045,0.5294117647058824,0.23972712362441997,0.76027287637558,False
pre_filter,otsu_T1c,0.05,100,33,0.0606060606060606,0.0,12752,31,0.0,0,66,39,19,0.0008056361326261,2,53,26,17,0.00100147003575,4,55,10,0.08955223880597014,0.23529411764705882,0.005682485461014781,0.9943175145389852,False
pre_filter,otsu_T1c,0.1,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
pre_filter,otsu_T1c,0.2,100,33,0.0,0.0,0,31,0.0,0,66,0,19,0.0,0,55,0,17,0.0,0,59,0,0.0,0.0,0.0,1.0,False
pre_filter,sustraccion,0.0,100,33,0.9393939393939394,76915.0,135522,31,0.0033756412897218,50,16,5244,19,0.0053801013648473,41,14,2990,17,0.0086725241888095,38,21,2086,0.9104477611940298,1.0,0.04920915339848599,0.950790846601514,False
